author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0007,001,1,Plutarchus,Πλούταρχος,Theseus,Θησεύς,Theseus,urn:cts:greekLit:tlg0007.tlg001,1,1
0007,002,2,Plutarchus,Πλούταρχος,Romulus,Ῥωμύλος,Romulus,urn:cts:greekLit:tlg0007.tlg002,1,1
0007,003,3,Plutarchus,Πλούταρχος,Comparison of Theseus and Romulus,Θησέως καὶ Ῥωμύλου σύγκρισις,Comparison of Theseus and Romulus,urn:cts:greekLit:tlg0007.tlg003,1,1
0007,004,4,Plutarchus,Πλούταρχος,Lycurgus,Λυκοῦργος,Lycurgus,urn:cts:greekLit:tlg0007.tlg004,1,1
0007,005,5,Plutarchus,Πλούταρχος,Numa,Νομᾶς,Numa,urn:cts:greekLit:tlg0007.tlg005,1,1
0007,006,6,Plutarchus,Πλούταρχος,Comparison of Lycurgus and Numa,Λυκούργου καὶ Νομᾶ σύγκρισις,Comparison of Lycurgus and Numa,urn:cts:greekLit:tlg0007.tlg006,1,1
0007,007,7,Plutarchus,Πλούταρχος,Solon,Σόλων,Solon,urn:cts:greekLit:tlg0007.tlg007,1,1
0007,008,8,Plutarchus,Πλούταρχος,Publicola,Ποπλικόλας,Publicola,urn:cts:greekLit:tlg0007.tlg008,1,1
0007,009,9,Plutarchus,Πλούταρχος,Comparison of Solon and Publicola,Σόλωνος καὶ Ποπλικόλα σύγκρισις,Comparison of Solon and Publicola,urn:cts:greekLit:tlg0007.tlg009,1,1
0007,010,10,Plutarchus,Πλούταρχος,Themistocles,Θεμιστοκλῆς,Themistocles,urn:cts:greekLit:tlg0007.tlg010,1,1
0007,011,11,Plutarchus,Πλούταρχος,Camillus,Κάμιλλος,Camillus,urn:cts:greekLit:tlg0007.tlg011,1,1
0007,012,12,Plutarchus,Πλούταρχος,Pericles,Περικλῆς,Pericles,urn:cts:greekLit:tlg0007.tlg012,1,1
